PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,Samplename,Subpopulation,Superpopulation,Gender
20.520765,-44.643414,21.026127,-1.826607,-0.15427531,1.875524,0.5962841,-1.411342,-1.9332403,0.59823275,HG01521,IBS,EUR,male
20.349968,-46.221733,21.17272,-1.469185,-1.58278,2.055204,0.8696943,-0.084248826,-1.428268,-0.89703375,HG01522,IBS,EUR,female
18.026936,-41.2048,19.830154,1.5969267,0.08237789,-0.36792296,1.6085211,-3.3162432,-1.7041292,-1.7057846,HG01524,IBS,EUR,male
15.53979,-39.15092,18.213737,0.34154734,0.4840434,-1.5772064,0.42892623,0.5236094,-4.941117,1.223524,HG01525,IBS,EUR,female
17.925667,-38.70768,17.090809,0.46332714,0.6310604,-1.7055032,0.15331961,0.376267,0.8044237,-0.09108476,HG01527,IBS,EUR,male
14.952779,-40.209568,17.851526,-0.6628227,-1.5653003,5.238817,-0.013951759,1.3473827,1.9177532,-3.0877595,HG01528,IBS,EUR,female
18.08114,-39.16874,15.982133,-2.0429523,-2.6527267,1.2558563,-1.4295957,-0.19208089,1.3501214,-1.1601104,HG01530,IBS,EUR,male
17.324244,-40.97406,17.979801,-3.3548498,-2.339674,0.22996458,0.5484456,1.0946679,-4.316927,-3.6588478,HG01531,IBS,EUR,female
18.834969,-45.067623,21.771688,1.5724102,-0.5696578,-0.53660995,0.040657345,-1.7585561,0.20536095,-0.68852854,HG01536,IBS,EUR,male
19.129372,-42.400658,19.254656,-1.9934863,1.3600492,0.28511083,0.8447372,-0.59321856,0.5739805,-0.82187957,HG01537,IBS,EUR,female
17.600266,-39.312824,15.751574,0.14152586,-0.06184493,-8.274144,2.321961,-1.3521891,-3.0817847,3.0980456,HG01602,IBS,EUR,female
16.734213,-40.65275,15.818242,1.4123609,-1.6361207,-4.425952,2.329195,-1.7208081,-0.9100302,-0.40908146,HG01603,IBS,EUR,male
18.103466,-41.860317,21.141724,-0.03711217,0.3190972,-0.5994186,0.75640017,-0.63136,1.7119969,0.96677434,HG01605,IBS,EUR,female
19.160023,-44.21458,19.362144,-1.3869952,-2.0022695,-0.06317697,2.1786602,-1.2726552,1.3973272,-0.90869904,HG01606,IBS,EUR,male
17.329365,-41.668213,20.171448,-0.461784,-0.23373896,-0.3102094,0.8370746,2.8892405,-0.4695449,0.022186201,HG01607,IBS,EUR,female
16.519302,-39.117527,18.260925,-0.7828214,3.8138585,0.13064943,-0.8251572,-1.6546588,0.5902827,-1.9345744,HG01608,IBS,EUR,male
20.514013,-41.362896,18.985651,1.1489831,-0.44871715,2.5347152,-1.5357211,-1.1792796,0.03666616,1.5105449,HG01610,IBS,EUR,male
19.308659,-44.68672,17.309313,-2.4125931,0.35313964,1.1938673,0.6038086,-0.7002732,0.12576926,0.1247985,HG01612,IBS,EUR,female
17.027729,-38.3879,16.738926,1.3734473,0.45354784,1.1602182,-1.3591975,-1.233652,0.96426344,0.23456292,HG01613,IBS,EUR,female
18.699924,-41.378178,20.41724,0.083435014,-0.34091,1.1090993,1.0087659,0.665057,-0.31459704,0.22661357,HG01615,IBS,EUR,male
17.709719,-39.16881,16.61474,0.62992394,0.6551382,0.36906704,0.5437012,0.51140803,-1.1381919,-0.0044087884,HG01617,IBS,EUR,male
18.97376,-42.18734,19.059282,-0.63951284,2.43779,-0.05212275,3.6335878,-2.026523,-1.3896939,-1.5670826,HG01618,IBS,EUR,female
19.8977,-42.465736,19.39146,0.30847234,0.33047584,-0.45056438,0.7826859,0.4940093,0.020477349,-0.25360954,HG01619,IBS,EUR,male
18.06047,-41.103382,20.144268,-0.7961353,1.2120512,-0.06298518,-0.1622836,-0.7624622,0.9371436,1.3740737,HG01620,IBS,EUR,female
17.72245,-47.12246,20.142189,-3.7557447,-2.2543452,0.8030006,-0.8992514,-0.10603903,1.759783,-1.1151978,HG01623,IBS,EUR,female
16.49871,-42.739204,19.349886,-0.32060546,-1.7624203,-1.6288104,-1.7973349,0.18177652,1.8420281,1.7395515,HG01624,IBS,EUR,male
18.19501,-42.40513,16.68677,-3.2116704,-2.4894142,-0.5634829,2.5725658,-0.30361646,-0.26811722,-1.0464075,HG01625,IBS,EUR,male
17.949526,-36.367542,17.865444,1.280012,-0.21417397,1.4707321,-0.86348206,-0.40476134,0.5042623,-0.5042158,HG01626,IBS,EUR,female
7.874067,-36.082226,16.387173,-0.32254672,0.25817323,-2.042237,-0.13252622,1.9123806,1.8179835,-1.3078527,HG01628,IBS,EUR,female
17.887585,-38.824467,17.93362,-0.3193379,-2.4369965,1.4682032,-0.21537383,1.4118843,0.2944718,-1.6922593,HG01630,IBS,EUR,male
18.155066,-42.800533,19.330816,1.2289839,1.0229298,-0.49790365,0.11752563,0.1920992,1.4385562,0.5085957,HG01631,IBS,EUR,male
19.558905,-40.01678,18.94804,-1.4931604,-0.6598405,1.5902096,0.49633756,-0.18412557,0.57277155,0.8047801,HG01632,IBS,EUR,female
16.446535,-44.392826,19.678955,1.2365758,0.96483874,-0.6118242,-3.4556289,2.617085,2.673371,-1.7757373,HG01668,IBS,EUR,female
15.719763,-39.747253,18.25002,1.5537167,0.5532404,3.2085416,1.1339589,2.3689003,0.9569747,-2.088572,HG01669,IBS,EUR,male
13.036502,-34.275887,16.35258,2.2452672,-1.270905,-0.78291756,2.166135,1.537001,1.1030083,-3.8194213,HG01670,IBS,EUR,female
