PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,Samplename
14.5268345,-43.638115,-33.536674,1.414668,-1.667033,1.271879,0.7264981,0.8279108,1.3990893,1.1203202,IBS_157indv
17.540218,-38.318344,-30.936346,0.6406263,-2.4596786,-0.81296366,1.0053844,-0.31495842,-1.3430376,-0.11744101,IBS_158indv
16.555544,-39.323532,-29.471554,0.28703898,-0.6843989,0.10433041,0.43135408,-1.3870807,-0.712401,1.5362833,IBS_159indv
15.710828,-43.108917,-27.885708,-0.16421118,-0.45107394,-0.6486868,-1.2830681,0.944382,-2.2445185,0.22330943,IBS_160indv
16.745924,-39.3462,-28.849487,-0.015343423,-0.978437,-0.005759353,0.83130807,-0.34297985,1.9503658,-0.33355364,IBS_161indv
14.620234,-36.15664,-28.474329,-0.4630377,-1.3429536,1.9855174,0.4716172,0.8005599,4.592366,-0.20554723,IBS_162indv
16.76145,-38.57442,-32.00687,0.8167194,-1.7752506,0.036946762,0.6190293,-0.76572096,1.8895456,1.3182621,IBS_163indv
18.42748,-40.551666,-31.393753,0.46828452,-1.70767,-0.6946383,2.736582,-1.565112,2.918705,1.54991,IBS_164indv
16.190928,-38.050045,-29.891436,1.4543854,-0.9820252,0.1437811,-1.5062965,-1.0062307,1.3921987,1.2269187,IBS_165indv
21.081944,-38.175407,-29.366852,1.7477727,-0.54510707,0.13006505,1.0199147,-0.5240585,-0.85103583,0.0905001,IBS_166indv
16.209682,-40.66943,-31.515032,0.28125998,-0.7790911,0.06445235,-2.9747348,-1.1752664,-1.3982038,1.1964544,IBS_167indv
17.31684,-37.624947,-31.801546,-0.5413275,-0.36892805,-0.67089325,-0.08713946,0.30426264,-2.1922214,-0.27135295,IBS_168indv
16.725262,-42.463795,-32.55829,1.0000695,-0.9036173,-1.2014008,1.4433175,-0.6211346,0.24461281,1.1919973,IBS_169indv
17.049196,-42.16585,-33.640076,0.15592621,-1.1848772,-0.95682275,-1.9878025,1.8078969,-0.8570272,1.788155,IBS_170indv
17.139055,-43.742897,-34.81007,1.0202873,-0.99613446,-0.14939168,0.9683646,-0.36191985,0.49212,0.6309909,IBS_171indv
18.241915,-43.29686,-31.214046,-0.28554705,0.04809344,-0.8573107,-1.0425644,0.6563343,2.0954473,-0.5794786,IBS_172indv
16.817781,-40.224552,-29.664005,1.0207523,-1.3122522,0.5943965,-0.89980996,-0.63699853,0.77802324,-0.10492808,IBS_173indv
16.104826,-42.148304,-33.86347,0.3970938,-0.89829844,0.35541853,0.33169806,0.14460406,0.9564434,0.67329437,IBS_174indv
16.539171,-41.794456,-32.03003,-0.19117284,-0.09505059,-2.2544765,1.4715925,-0.062646925,0.073332906,-1.9579902,IBS_175indv
